"rules","support","confidence","coverage","lift","count","pvalue_test"
"{CHPT1_1_homo=1,COQ7_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{TMEM40_2=1,ARHGAP25_1=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{HEXD_1=1,TMEM40_2=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{HEXD_1=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0357142857142857,0.9,0.0396825396825397,1.8144,9,6.31878750350325e-09
"{TMEM40_2=1,RBM11_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{TMEM40_2=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{TMEM40_2=1,APOBEC1_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0476190476190476,0.8,0.0595238095238095,1.6128,12,6.31878750350325e-09
"{ALK_3=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.65354330708661,10,8.41447447093663e-09
"{PTPRU_1=1,FABP1_1=1,OR13C2_1=1} => {grading=1}",0.0555555555555556,0.823529411764706,0.0674603174603175,1.63408985641501,14,8.41447447093663e-09
"{C1orf109_1=1,OR13C2_1=1,CILP_3_homo=1} => {grading=1}",0.0515873015873016,0.866666666666667,0.0595238095238095,1.71968503937008,13,8.41447447093663e-09
"{ALDH3A1_2=1,FABP1_1=1,OR13C2_1=1} => {grading=1}",0.0515873015873016,0.928571428571429,0.0555555555555556,1.84251968503937,13,8.41447447093663e-09
"{FABP1_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0674603174603175,0.85,0.0793650793650794,1.68661417322835,17,6.34429105016666e-10
"{EPCAM_1=1,FABP1_1=1,OR13C2_1=1} => {grading=1}",0.0714285714285714,0.9,0.0793650793650794,1.78582677165354,18,8.41447447093663e-09
"{C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0793650793650794,0.8,0.0992063492063492,1.58740157480315,20,3.42668770552532e-09
"{FNDC9_1=1,FBXL22_1=1,SLC25A43_1_homo=1} => {grading=0}",0.0515873015873016,1,0.0515873015873016,2.016,13,6.31878750350325e-09
"{FNDC9_1=1,FBXL22_1=1,POLI_1_homo=1} => {grading=0}",0.0515873015873016,0.8125,0.0634920634920635,1.638,13,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,POLI_1_homo=1} => {grading=0}",0.0476190476190476,0.857142857142857,0.0555555555555556,1.728,12,1.08733688820887e-08
"{FBXL22_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0555555555555556,0.875,0.0634920634920635,1.764,14,1.49512485694478e-12
"{FBXL22_1=1,NCOA3_1=1,CHPT1_1=1} => {grading=0}",0.0634920634920635,0.8,0.0793650793650794,1.6128,16,1.03663702715622e-10
"{FBXL22_1=1,NCOA3_1=1,POLI_1_homo=1} => {grading=0}",0.0674603174603175,0.894736842105263,0.0753968253968254,1.80378947368421,17,1.03663702715622e-10
"{FBXL22_1=1,GSTM3_1=1,COQ7_1_homo=1} => {grading=0}",0.0634920634920635,0.8,0.0793650793650794,1.6128,16,1.03663702715622e-10
"{FBXL22_1=1,RBM11_1_homo=1,COQ7_1_homo=1} => {grading=0}",0.0833333333333333,0.807692307692308,0.103174603174603,1.62830769230769,21,2.37654735374918e-10
"{FBXL22_1=1,RNF149_1=1,POLI_1_homo=1} => {grading=0}",0.0714285714285714,0.818181818181818,0.0873015873015873,1.64945454545455,18,2.37654735374918e-10
"{FBXL22_1=1,CHPT1_1=1,ARHGAP25_1=1} => {grading=0}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.70584615384615,11,1.83584681173469e-09
"{FBXL22_1=1,POLI_1_homo=1,CFHR4_1_homo=1} => {grading=0}",0.0714285714285714,0.9,0.0793650793650794,1.8144,18,2.37654735374918e-10
"{FBXL22_1=1,LSR_1=1,POLI_1_homo=1} => {grading=0}",0.0873015873015873,0.814814814814815,0.107142857142857,1.64266666666667,22,6.24958605671617e-14
"{FNDC9_1=1,ALCAM_2=1,SLC25A43_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{ALCAM_2=1,ARHGAP25_1=1,SLC25A43_1_homo=1} => {grading=0}",0.0357142857142857,0.9,0.0396825396825397,1.8144,9,6.31878750350325e-09
"{MYO1H_1=1,GJE1_1=1,POLI_1_homo=1} => {grading=0}",0.0555555555555556,0.875,0.0634920634920635,1.764,14,6.31878750350325e-09
"{GSTM3_1=1,GJE1_1=1,RHBDF2_1_homo=1} => {grading=0}",0.0793650793650794,0.833333333333333,0.0952380952380952,1.68,20,1.03663702715622e-10
"{SYT8_5=1,ZNF749_1_homo=1,MTHFD1_1_homo=1} => {grading=1}",0.0674603174603175,0.80952380952381,0.0833333333333333,1.60629921259843,17,8.41447447093663e-09
"{SYT8_5=1,ZNF749_1_homo=1,RHBDF2_1_homo=1} => {grading=1}",0.0634920634920635,0.8,0.0793650793650794,1.58740157480315,16,6.34429105016666e-10
"{STXBP5L_2=1,ALCAM_2=1,POLI_1_homo=1} => {grading=0}",0.0515873015873016,0.928571428571429,0.0555555555555556,1.872,13,6.31878750350325e-09
"{CHPT1_1=1,ALCAM_2=1,ARHGAP25_1=1} => {grading=0}",0.0555555555555556,0.823529411764706,0.0674603174603175,1.66023529411765,14,1.03663702715622e-10
"{IGFBP2_1=1,ALCAM_2=1,ARHGAP25_1=1} => {grading=0}",0.0833333333333333,0.84,0.0992063492063492,1.69344,21,6.31878750350325e-09
"{ALK_3=1,IBSP_4=1,TP53_1_homo=1} => {grading=1}",0.0595238095238095,0.833333333333333,0.0714285714285714,1.65354330708661,15,8.41447447093663e-09
"{ALK_3=1,IBSP_4=1,CCDC61_1_homo=1} => {grading=1}",0.0674603174603175,0.85,0.0793650793650794,1.68661417322835,17,6.34429105016666e-10
