;0
0;1
1;0
2;1
3;1
4;0
5;1
6;1
7;1
8;0
9;0
10;1
11;1
12;0
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;0
21;1
22;1
23;1
24;1
25;1
26;0
27;1
28;0
29;1
30;1
31;0
32;1
33;0
34;1
35;0
36;0
37;0
38;0
39;0
40;0
41;1
42;0
43;0
44;0
45;1
46;1
47;1
48;0
49;0
50;0
51;0
52;0
53;1
54;1
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;1
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;1
73;0
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;1
99;1
100;1
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;1
109;0
110;0
111;0
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;0
120;0
121;0
122;1
123;1
124;1
125;0
126;0
127;1
128;1
129;1
130;0
131;0
132;1
133;0
134;1
135;0
136;1
137;1
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;1
165;1
166;0
167;0
168;1
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;1
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;1
194;1
195;1
196;1
197;0
198;1
199;0
200;0
201;1
202;0
203;1
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;1
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;1
237;0
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;0
246;1
247;1
248;1
249;1
250;1
251;0
252;1
253;1
254;0
255;1
256;1
257;0
258;0
259;1
260;0
261;0
262;1
263;0
264;0
265;1
266;0
267;1
268;0
269;0
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;1
278;1
279;1
280;0
281;0
282;1
283;1
284;1
285;0
286;0
287;0
288;0
289;1
290;0
291;1
292;0
293;0
294;0
295;0
296;1
297;1
298;1
299;0
300;0
301;0
302;1
303;0
304;0
305;1
306;0
307;0
308;0
309;0
310;1
311;1
312;1
313;0
314;1
315;0
316;1
317;1
318;1
319;1
320;0
321;1
322;1
323;0
324;0
325;0
326;1
327;0
328;1
329;1
330;1
331;1
332;1
333;1
334;1
335;1
336;0
337;1
338;1
339;1
340;1
341;1
342;1
343;0
344;1
345;1
346;0
347;1
348;1
349;1
350;1
351;0
352;1
353;1
354;1
355;0
356;1
357;1
358;1
359;1
360;0
361;1
362;0
363;0
364;1
365;1
366;0
367;1
368;1
369;1
370;1
371;1
372;1
373;1
374;1
375;1
376;1
377;1
378;1
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;1
389;1
390;1
391;0
392;0
393;0
394;1
395;0
396;0
397;1
398;0
399;0
400;0
401;0
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;0
410;1
411;1
412;1
413;1
414;0
415;1
416;0
417;0
418;1
419;0
420;1
421;1
422;0
423;1
424;1
425;1
426;1
427;1
428;1
429;1
430;1
431;1
432;1
433;1
434;1
435;1
436;0
437;0
438;1
439;0
440;1
441;1
442;1
443;1
444;1
445;1
446;0
447;1
448;1
449;1
450;1
451;1
452;0
453;1
454;1
455;0
456;0
457;0
458;1
459;1
460;1
461;0
462;0
463;0
464;1
465;1
466;1
467;1
468;1
469;1
470;1
471;1
472;1
473;1
474;1
475;1
476;1
477;1
478;0
479;1
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
