complete;Feature Importance;abs_score;complete
DMRTA2_rare_AR;-0,994217771;0,994217771;10
DPP6_rare_AR;-0,780102595;0,780102595;9
NEB_rare_AR;0,654354134;0,654354134;10
PCDH15_rare_AR;-0,625525558;0,625525558;10
TGM4_rare_AR;-0,610732762;0,610732762;10
OVCH2_rare_AR;-0,537995494;0,537995494;9
PREX2_rare_AR;-0,49675421;0,49675421;9
B4GALNT3_rare_AR;-0,495442665;0,495442665;10
ARID1B_rare_AR;0,482474557;0,482474557;10
DST_rare_AR;-0,466686838;0,466686838;9
IRS2_rare_AR;0,430163891;0,430163891;10
ANTXRL_rare_AR;0,416586255;0,416586255;9
SCRT1_rare_AR;-0,387607955;0,387607955;9
TMEM232_rare_AR;0,378066757;0,378066757;9
ZNF469_rare_AR;0,365076421;0,365076421;10
FLG2_rare_AR;0,352945309;0,352945309;9
MYORG_rare_AR;-0,350379603;0,350379603;10
FAT1_rare_AR;-0,326281913;0,326281913;9
NBPF11_rare_AR;0,321872073;0,321872073;9
PCLO_rare_AR;-0,314879815;0,314879815;10
POU3F3_rare_AR;-0,294474436;0,294474436;8
TMEM82_rare_AR;-0,292078309;0,292078309;8
FAM186A_rare_AR;0,280490775;0,280490775;8
NPIPB5_rare_AR;0,258453622;0,258453622;8
TIAM2_rare_AR;-0,256825663;0,256825663;7
RBM12B_rare_AR;-0,236176445;0,236176445;5
DNAH17_rare_AR;0,231602313;0,231602313;7
SETX_rare_AR;-0,184591441;0,184591441;6
ITIH5_rare_AR;0,180356429;0,180356429;9
SHISAL1_rare_AR;-0,177795995;0,177795995;6
PLEKHA4_rare_AR;-0,174778659;0,174778659;8
MPDZ_rare_AR;-0,164291125;0,164291125;5
RPUSD3_rare_AR;-0,160023794;0,160023794;7
CELSR1_rare_AR;-0,145488217;0,145488217;8
ANKRD11_rare_AR;0,141025866;0,141025866;6
NKX2-3_rare_AR;-0,137942236;0,137942236;7
REXO1_rare_AR;-0,121123;0,121123;8
SALL1_rare_AR;0,116320725;0,116320725;5
DNAH5_rare_AR;-0,113878123;0,113878123;6
C1orf127_rare_AR;0,111256322;0,111256322;4
DNAH14_rare_AR;0,100758066;0,100758066;6
MUC5B_rare_AR;0,084284726;0,084284726;5
DEAF1_rare_AR;0,082158347;0,082158347;6
APOB_rare_AR;0,075624629;0,075624629;6
GOLGA6L10_rare_AR;-0,065865277;0,065865277;6
INF2_rare_AR;0,051974641;0,051974641;4
BTNL8_rare_AR;-0,047379783;0,047379783;5
GOLGA6L4_rare_AR;-0,044021248;0,044021248;6
SRMS_rare_AR;-0,0433451;0,0433451;4
FSIP2_rare_AR;-0,02707251;0,02707251;2
CDAN1_rare_AR;0,019308247;0,019308247;4
NFAT5_rare_AR;0,009613321;0,009613321;3
ITGA10_rare_AR;-0,001360084;0,001360084;4
"LY75;LY75-CD302_rare_AR";0,000139109;0,000139109;2
